#number	name	    magnitud	group	redshift
1	J1158-0322	17.3	A	1.57310
2	J0043+0114	17.5	A	1.56340
3	J1108+0141	17.3	A	1.61359
4	J0155-1023	17.1	A	1.54560
5	J1152+0702	16.8	A	1.48477
6	J0941+0443	17.8	B	1.57098
7	J0209-0947	17.8	B	1.56602
8	J0148+0003	18.0	B	1.48482
9	J0842+0151	17.5	B	1.49260
10	J0303+0027	17.6	B	1.64601
11	J1005+0245	18.0	C	1.48381
12	J0934+0005	18.2	C	1.53415
13	J0152-0839	18.1	C	1.57154
14	J1002+0331	17.6	C	1.48105
15	J0323-0029	17.9	C	1.62818
16	J0927+0004	19.0	D	1.48448
17	J1050+0207	19.5	D	1.58782
18	J1013+0245	19.7	D	1.56409
19	J0019-1053	18.6	D	1.51831
20	J1052+0236	18.9	D	1.57273
21	J0136-0015	19.0	E	1.48607
22	J0143-0056	18.9	E	1.53666
23	J0213-0036	19.2	E	1.56038
24	J0240-0758	19.1	E	1.53894
25	J0223-0007	18.8	E	1.53377
26	J0213-1003	19.1	F	1.58955
27	J0341-0037	19.3	F	1.55260
28	J0948+0137	19.7	F	1.63127
29	J0850+0022	18.8	F	1.61630
30	J0404-0446	18.9	F	1.54651
